"Site","SC.Category","SC.Level","Sample.Date","Fraction","Replicate","Order","Family","Genus","Abundance","Density","Biomass","Biomass.Area.Corrected","Unique_ID"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Polycentropus",1,10.76426265,0.114512328,1.23264077525495,"Polycentropus_1.23264077525495_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Ceratopogonidae","Probezzia",0,0,0,0,"Probezzia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Psephenidae","Psephenus",0,0,0,0,"Psephenus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Pupa","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Pupa","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironomidae","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Hemiptera","Veliidae","Rhagovelia",0,0,0,0,"Rhagovelia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Megaloptera","Sialidae","Sialis",0,0,0,0,"Sialis_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Gastropoda","Lymnaidae","Stagnicola",0,0,0,0,"Stagnicola_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Stenelmis (A)",0,0,0,0,"Stenelmis (A)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Stenelmis (L)",0,0,0,0,"Stenelmis (L)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Heptageniidae","Stenonema",2,21.5285253,2.306283565,49.6508840780767,"Stenonema_49.6508840780767_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Gomphidae","Stylogomphurus",0,0,0,0,"Stylogomphurus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Tanypodinae","Tanypodinae",1,10.76426265,0.184077318,1.98145659885957,"Tanypodinae_1.98145659885957_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironominae","Tanytarsini",0,0,0,0,"Tanytarsini_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Tipulidae","Tipula",0,0,0,0,"Tipula_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Aeshnidae","Triacanthagyna",0,0,0,0,"Triacanthagyna_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Baetidae","Acerpenna",0,0,0,0,"Acerpenna_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Perlidae","Acroneuria",0,0,0,0,"Acroneuria_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Stratiomyidae","Allognasta",0,0,0,0,"Allognasta_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Chloroperlidae","Alloperla",0,0,0,0,"Alloperla_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Limoniidae","Antocha",0,0,0,0,"Antocha_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Athericidae","Atherix",0,0,0,0,"Atherix_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Baetidae","Baetis",0,0,0,0,"Baetis_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Baetiscidae","Baetisca",0,0,0,0,"Baetisca_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Aeshnidae","Boyeria",0,0,0,0,"Boyeria_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Capniidae","Capniidae",0,0,0,0,"Capniidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Cernotina",0,0,0,0,"Cernotina_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Empididae","Chelifera",0,0,0,0,"Chelifera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Hydropsychidae","Cheumatopsyche",0,0,0,0,"Cheumatopsyche_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironomidae","Chironomidae",0,0,0,0,"Chironomidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironomidae","Chironomini",0,0,0,0,"Chironomini_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Hexapoda","Collembola","Collembola",0,0,0,0,"Collembola_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Cyrnellus",0,0,0,0,"Cyrnellus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Pediciidae","Dicranota",0,0,0,0,"Dicranota_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Hydropsychidae","Diplectrona",1,10.76426265,3.293449015,35.4515502218438,"Diplectrona_35.4515502218438_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Dixidae","Dixa",0,0,0,0,"Dixa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Dixidae","Dixella",0,0,0,0,"Dixella_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Philopotamidae","Dolophilodes",0,0,0,0,"Dolophilodes_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Psephenidae","Ectopria",0,0,0,0,"Ectopria_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Ephemeridae","Ephemera",0,0,0,0,"Ephemera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Ephemerellidae","Eurylophella",0,0,0,0,"Eurylophella_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Glossosomatidae","Glossosoma",0,0,0,0,"Glossosoma_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Goeridae","Goera",0,0,0,0,"Goera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Gomphidae","Gomphurus",0,0,0,0,"Gomphurus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Gyrinidae","Gyrinus",0,0,0,0,"Gyrinus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Heptageniidae","Heptageniidae",0,0,0,0,"Heptageniidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Calopterygidae","Hetaerina",0,0,0,0,"Hetaerina_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Limoniidae","Hexatoma",2,21.5285253,7.225263189,155.549261363545,"Hexatoma_155.549261363545_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trombidiformes","Hydrachnidia","Hydrachnia",0,0,0,0,"Hydrachnia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Hydropsychidae","Hydropsyche",0,0,0,0,"Hydropsyche_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Perlodidae","Isoperla",0,0,0,0,"Isoperla_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Lepidoptera","Crambidae","Langessa",0,0,0,0,"Langessa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Leptophlebiidae","Leptophlebiidae",0,0,0,0,"Leptophlebiidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Leuctridae","Leuctra",0,0,0,0,"Leuctra_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Leuctridae","Leuctridae",0,0,0,0,"Leuctridae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Hemiptera","Veliidae","Microvelia",0,0,0,0,"Microvelia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironominae","Orthocladine",0,0,0,0,"Orthocladine_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Oulimnius(A)",0,0,0,0,"Oulimnius(A)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Oulimnius(L)",0,0,0,0,"Oulimnius(L)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Capniidae","Paracapnia",0,0,0,0,"Paracapnia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Leptophlebiidae","Paraleptophlebiidae",0,0,0,0,"Paraleptophlebiidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Polycentropodidae",0,0,0,0,"Polycentropodidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Polycentropus",1,10.76426265,0.23717679,2.55303326204389,"Polycentropus_2.55303326204389_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Ceratopogonidae","Probezzia",0,0,0,0,"Probezzia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Psephenidae","Psephenus",0,0,0,0,"Psephenus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Pupa","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Pupa","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironomidae","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Hemiptera","Veliidae","Rhagovelia",0,0,0,0,"Rhagovelia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Megaloptera","Sialidae","Sialis",0,0,0,0,"Sialis_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Gastropoda","Lymnaidae","Stagnicola",0,0,0,0,"Stagnicola_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Stenelmis (A)",0,0,0,0,"Stenelmis (A)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Stenelmis (L)",0,0,0,0,"Stenelmis (L)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Heptageniidae","Stenonema",0,0,0,0,"Stenonema_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Gomphidae","Stylogomphurus",0,0,0,0,"Stylogomphurus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Tanypodinae","Tanypodinae",0,0,0,0,"Tanypodinae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironominae","Tanytarsini",0,0,0,0,"Tanytarsini_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Tipulidae","Tipula",0,0,0,0,"Tipula_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Aeshnidae","Triacanthagyna",0,0,0,0,"Triacanthagyna_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Baetidae","Acerpenna",0,0,0,0,"Acerpenna_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Perlidae","Acroneuria",0,0,0,0,"Acroneuria_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Adult","Adult",0,0,0,0,"Adult_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Stratiomyidae","Allognasta",0,0,0,0,"Allognasta_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Chloroperlidae","Alloperla",0,0,0,0,"Alloperla_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Limoniidae","Antocha",0,0,0,0,"Antocha_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Athericidae","Atherix",0,0,0,0,"Atherix_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Baetidae","Baetis",0,0,0,0,"Baetis_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Baetiscidae","Baetisca",0,0,0,0,"Baetisca_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Aeshnidae","Boyeria",0,0,0,0,"Boyeria_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Capniidae","Capniidae",0,0,0,0,"Capniidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Cernotina",1,10.76426265,0.661849376,7.12432051800261,"Cernotina_7.12432051800261_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Empididae","Chelifera",0,0,0,0,"Chelifera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Hydropsychidae","Cheumatopsyche",2,21.5285253,4.504197632,96.9687326767121,"Cheumatopsyche_96.9687326767121_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironomidae","Chironomidae",0,0,0,0,"Chironomidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironomidae","Chironomini",0,0,0,0,"Chironomini_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Hexapoda","Collembola","Collembola",0,0,0,0,"Collembola_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Cyrnellus",0,0,0,0,"Cyrnellus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Pediciidae","Dicranota",0,0,0,0,"Dicranota_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Hydropsychidae","Diplectrona",5,53.82131324,4.066623387,218.871011140837,"Diplectrona_218.871011140837_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Dixidae","Dixa",0,0,0,0,"Dixa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Dixidae","Dixella",0,0,0,0,"Dixella_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Philopotamidae","Dolophilodes",2,21.5285253,7.203290575,155.076223387139,"Dolophilodes_155.076223387139_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Psephenidae","Ectopria",0,0,0,0,"Ectopria_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Ephemeridae","Ephemera",0,0,0,0,"Ephemera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Ephemerellidae","Eurylophella",0,0,0,0,"Eurylophella_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Glossosomatidae","Glossosoma",0,0,0,0,"Glossosoma_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Goeridae","Goera",0,0,0,0,"Goera_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Gomphidae","Gomphurus",0,0,0,0,"Gomphurus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Gyrinidae","Gyrinus",0,0,0,0,"Gyrinus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Heptageniidae","Heptageniidae",0,0,0,0,"Heptageniidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Calopterygidae","Hetaerina",0,0,0,0,"Hetaerina_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Limoniidae","Hexatoma",3,32.29278794,8.666386383,279.861777672323,"Hexatoma_279.861777672323_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trombidiformes","Hydrachnidia","Hydrachnia",0,0,0,0,"Hydrachnia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Hydropsychidae","Hydropsyche",1,10.76426265,0.803654364,8.6507466539147,"Hydropsyche_8.6507466539147_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Perlodidae","Isoperla",0,0,0,0,"Isoperla_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Lepidoptera","Crambidae","Langessa",0,0,0,0,"Langessa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Leptophlebiidae","Leptophlebiidae",3,32.29278794,0.825956452,26.6724365521108,"Leptophlebiidae_26.6724365521108_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Leuctridae","Leuctra",0,0,0,0,"Leuctra_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Leuctridae","Leuctridae",0,0,0,0,"Leuctridae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Hemiptera","Veliidae","Microvelia",0,0,0,0,"Microvelia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironominae","Orthocladine",0,0,0,0,"Orthocladine_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Elmidae","Oulimnius(A)",0,0,0,0,"Oulimnius(A)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Elmidae","Oulimnius(L)",0,0,0,0,"Oulimnius(L)_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Capniidae","Paracapnia",3,32.29278794,0.145363686,4.69419868617475,"Paracapnia_4.69419868617475_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Leptophlebiidae","Paraleptophlebiidae",0,0,0,0,"Paraleptophlebiidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Polycentropodidae",0,0,0,0,"Polycentropodidae_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Polycentropus",0,0,0,0,"Polycentropus_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Ceratopogonidae","Probezzia",0,0,0,0,"Probezzia_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Psephenidae","Psephenus",3,32.29278794,4.454424128,143.845773760323,"Psephenus_143.845773760323_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Pupa","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Pupa","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironomidae","Pupa",0,0,0,0,"Pupa_0_CRO_REF_72"
"CRO","REF","72","10/21/23","> 1",3,"Hemiptera","Veliidae","Rhagovelia",0,0,0,0,"Rhagovelia_0_CRO_REF_72"
